JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
21071720_0.extern|extern||COMPLETED|00:03:09|2025-12-04T19:32:20|2025-12-04T19:35:29|32|
21071722_0|ppo_shell_short.sh|amilan|COMPLETED|00:01:37|2025-12-04T19:33:52|2025-12-04T19:35:29|27|100G
21071722_0.batch|batch||COMPLETED|00:01:37|2025-12-04T19:33:52|2025-12-04T19:35:29|27|
21071722_0.extern|extern||COMPLETED|00:01:37|2025-12-04T19:33:52|2025-12-04T19:35:29|27|
21073320_0|ppo_shell.sh|amilan|COMPLETED|00:02:52|2025-12-04T20:24:22|2025-12-04T20:27:14|32|100G
21073320_0.batch|batch||COMPLETED|00:02:52|2025-12-04T20:24:22|2025-12-04T20:27:14|32|
21073320_0.extern|extern||COMPLETED|00:02:52|2025-12-04T20:24:22|2025-12-04T20:27:14|32|
21073321_0|ppo_shell_short.sh|amilan|COMPLETED|00:00:53|2025-12-04T20:27:26|2025-12-04T20:28:19|27|100G
21073321_0.batch|batch||COMPLETED|00:00:53|2025-12-04T20:27:26|2025-12-04T20:28:19|27|
21073321_0.extern|extern||COMPLETED|00:00:53|2025-12-04T20:27:26|2025-12-04T20:28:19|27|
21074591_0|ppo_shell_short.sh|amilan|TIMEOUT|02:00:27|2025-12-04T21:44:59|2025-12-04T23:45:26|27|100G
21074591_0.batch|batch||CANCELLED|02:00:29|2025-12-04T21:44:59|2025-12-04T23:45:28|27|
21074591_0.extern|extern||COMPLETED|02:00:29|2025-12-04T21:44:59|2025-12-04T23:45:28|27|
21074593_0|ppo_shell.sh|amilan|COMPLETED|16:40:07|2025-12-04T21:54:48|2025-12-05T14:34:55|32|100G
21074593_0.batch|batch||COMPLETED|16:40:07|2025-12-04T21:54:48|2025-12-05T14:34:55|32|
21074593_0.extern|extern||COMPLETED|16:40:07|2025-12-04T21:54:48|2025-12-05T14:34:55|32|
23246394|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:29|2026-01-24T11:14:08|2026-01-24T23:14:37|1|3840M
23246394.batch|batch||CANCELLED|12:00:30|2026-01-24T11:14:08|2026-01-24T23:14:38|1|
23246394.extern|extern||COMPLETED|12:00:30|2026-01-24T11:14:08|2026-01-24T23:14:38|1|
23246647_[0]|shell.sh|amilan|CANCELLED by 1098135|00:00:00|None|2026-01-24T11:24:15|0|100G
23246665_0|shell.sh|amilan|COMPLETED|00:01:10|2026-01-24T11:24:06|2026-01-24T11:25:16|32|100G
23246665_0.batch|batch||COMPLETED|00:01:10|2026-01-24T11:24:06|2026-01-24T11:25:16|32|
23246665_0.extern|extern||COMPLETED|00:01:10|2026-01-24T11:24:06|2026-01-24T11:25:16|32|
23246814_0|shell100.sh|amilan|COMPLETED|00:00:14|2026-01-24T11:29:11|2026-01-24T11:29:25|32|100G
23246814_0.batch|batch||COMPLETED|00:00:14|2026-01-24T11:29:11|2026-01-24T11:29:25|32|
